model,total_pnl,trades,win_rate,profit_factor,max_drawdown,sharpe,expectancy,profitable_days,total_days
LGB-Fast,-12.996428571431919,59,0.3050847457627119,0.741947836446379,24.693214285712934,-5.073539216533388,-0.22027845036325283,3,15
LogReg-Momentum,24.280357142856648,14,0.5,1.7905692191406506,9.62678571428442,5.713091472484107,1.7343112244897605,4,15
GBoost-Stable,-1.7107142857292996,128,0.3828125,0.9869709498421237,22.60857142857475,-0.372091932651843,-0.013364955357260122,5,15
