mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5334169864654541,0.15425972964272316,0.19414429664611815,0.02769799120400904,balanced,10,2,5,100,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.3576828214348541,0.40854437640016783,0.33558760548007854,0.374990344180091,0.3612628565784557,0.36761360081472944,0.024059764925390803,1
0.9765236377716064,0.3814368718725186,0.3650561809539795,0.29798990264091035,balanced,10,4,5,100,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.37501854074434726,0.3989504009120513,0.33227911339902844,0.3773940630313938,0.3502663217318215,0.3667816879637285,0.023145104512292375,2
1.2779327392578126,0.4204401290825385,0.5746878623962403,0.3267564849179249,balanced,10,2,5,200,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.37743418073771745,0.3959231144329769,0.3257140283725548,0.38417972967137365,0.3457091766989011,0.36579204598270476,0.026042644386748564,3
0.9347338676452637,0.1933298410035071,0.4611210823059082,0.10583278315496411,balanced,10,4,10,100,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.36643970137910936,0.41256233484924804,0.3353737307650301,0.3745402927754822,0.33369180664853487,0.3645215732834809,0.029024265578013082,4
1.458271312713623,0.2503220540880996,0.895695161819458,0.14186978850870205,balanced,20,2,10,200,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.37379278140281624,0.4122359523869922,0.32333321372937174,0.3662753442435322,0.3431230637600576,0.363752071104554,0.030056977527262087,5
1.995538330078125,0.15769077268132112,0.48209481239318847,0.11873957413600102,balanced,20,4,5,200,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.3593011882146383,0.4103461243096748,0.33766116549372516,0.3474639040194831,0.35930167615490227,0.3628148116384847,0.025108841605458197,6
1.0503215789794922,0.13993470022163393,0.6740802764892578,0.23904610264725418,balanced,15,4,5,100,"{'class_weight': 'balanced', 'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.37464366535242927,0.4095855793101258,0.3280501157839799,0.3556154794289377,0.33854195044041685,0.36128735806317785,0.028862942225342345,7
1.0245512962341308,0.04841452818878568,0.2078474521636963,0.22273411928998224,balanced,20,2,10,100,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.368771386132868,0.395522710421486,0.3319549324482027,0.35449638182097726,0.3495242511200386,0.3600539323887145,0.02128540612019989,8
1.8804558277130128,0.16077176031276544,0.5172507286071777,0.1512696713029785,balanced,20,2,5,200,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.3654498762793167,0.3885533832952974,0.35964727757925435,0.3418090549507933,0.3421892557227978,0.3595297695654919,0.017275119521193403,9
1.7520615100860595,0.10625866510160732,0.42881264686584475,0.10859305931794788,balanced,10,4,10,200,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.3718520965921051,0.4134914158488372,0.33384743856952104,0.36177155379702797,0.3164307498073279,0.3594786509229638,0.033424000877882915,10
1.342678928375244,0.07919533119260737,0.43268327713012694,0.1387210350165147,balanced,10,4,5,200,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.37098571679112247,0.3951052917838707,0.32325213706713224,0.3743551453208868,0.3328279477476653,0.3593052477421355,0.027001667104335002,11
0.6422161102294922,0.10774198580465098,0.48695931434631345,0.254694440043824,balanced,20,4,5,100,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.36370307055260037,0.3984412732497333,0.3284118020071019,0.34879852115515964,0.35064756542646147,0.3580004464782113,0.023161211377421363,12
1.1568658828735352,0.13321681021289702,0.3140863418579102,0.10366515914224037,balanced,10,2,10,100,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.3665996280253019,0.39555943896115775,0.3238101907933191,0.349379365746089,0.3539591265593956,0.35786155001705267,0.023427147764734528,13
0.9365928173065186,0.09235449570163416,0.39699344635009765,0.2627295302059143,balanced,15,2,5,100,"{'class_weight': 'balanced', 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.36121055215236547,0.3989457381072288,0.3241270013717199,0.341406921141064,0.362704437199877,0.357678929994451,0.025024738623947423,14
1.2586782932281495,0.26002237065781286,0.45775508880615234,0.29013275341393546,balanced,20,4,10,100,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.36422061046271215,0.41616998268652255,0.3506448655978236,0.3336144769044633,0.32322189973512344,0.35757436707732904,0.032495553726950614,15
