date,pnl_pips
2025-11-07,0.0
2025-11-10,-5.035714285714145
2025-11-11,0.0
2025-11-12,0.0
2025-11-13,0.0
2025-11-14,0.0
2025-11-17,0.0
2025-11-18,0.0
2025-11-19,0.0
2025-11-20,0.0
2025-11-21,0.0
2025-11-24,0.0
2025-11-25,0.0
2025-11-26,0.0
2025-11-27,0.0
2025-11-28,0.0
2025-12-01,0.0
2025-12-02,0.0
2025-12-03,0.0
2025-12-04,0.0
2025-12-05,0.0
2025-12-08,0.0
2025-12-09,0.0
2025-12-10,17.285714285714665
2025-12-11,0.0
2025-12-12,0.0
2025-12-15,0.0
2025-12-16,4.369642857142118
2025-12-17,0.0
2025-12-18,7.74821428571359
2025-12-19,0.0
2025-12-22,0.0
2025-12-23,3.7142857142866363
2025-12-24,0.0
2025-12-25,-3.155357142857768
2025-12-26,-2.9250000000000673
2025-12-29,0.0
2025-12-30,0.0
2025-12-31,0.0
2026-01-01,0.0
2026-01-02,0.0
2026-01-05,0.0
2026-01-06,0.0
2026-01-07,0.0
2026-01-08,0.0
2026-01-09,5.185714285715014
2026-01-12,0.0
2026-01-13,6.564285714284371
2026-01-14,0.0
2026-01-15,-2.9250000000000673
2026-01-16,3.0249999999967683
