Date,AAPL,ABNB,ACN,ADBE,ADI,ADM,ADP,ADSK,AKAM,ALLE,AMAT,AMD,AME,AMZN,ANET,AOS,APH,APP,APTV,AVGO,AXON,AZO,BA,BBY,BF-B,BG,BKNG,BLDR,BR,CAG,CARR,CAT,CCL,CDNS,CDW,CHD,CHRW,CL,CLX,CMG,CMI,COST,CPB,CPRT,CRWD,CSCO,CSX,CTAS,CTSH,DAL,DASH,DAY,DDOG,DE,DECK,DELL,DG,DHI,DLTR,DOV,DPZ,DRI,EBAY,EFX,EL,EME,EMR,EPAM,ETN,EXPD,EXPE,F,FAST,FDX,FFIV,FICO,FSLR,FTNT,FTV,GD,GDDY,GE,GEN,GEV,GIS,GLW,GM,GNRC,GPC,GRMN,HAS,HD,HII,HLT,HON,HPE,HPQ,HRL,HSY,HUBB,HWM,IBM,IEX,INTC,INTU,IR,IT,ITW,J,JBHT,JBL,JCI,K,KDP,KEYS,KHC,KLAC,KMB,KMX,KO,KR,KVUE,LDOS,LEN,LHX,LII,LMT,LRCX,LVS,LW,MAS,MCHP,MMM,MO,MPWR,MSFT,MSI,MU,NDSN,NOC,NSC,NTAP,NVDA,NXPI,ON,ORCL,PANW,PLTR,PTC,STZ
2015-01-01,25.998571395874023,,70.23245239257812,70.12999725341797,41.76224899291992,34.045467376708984,65.38427734375,54.0099983215332,58.15999984741211,47.925594329833984,19.955020904541016,2.569999933242798,44.55672073364258,17.726499557495117,3.944999933242798,25.03296661376953,12.12531852722168,,54.178733825683594,7.785954475402832,27.010000228881836,596.9600219726562,127.14389038085938,23.865291595458984,29.594547271728516,65.87394714355469,995.1284790039062,5.920000076293945,39.72407150268555,19.298004150390625,,60.334686279296875,37.50807189941406,17.989999771118164,30.364295959472656,35.048011779785156,55.13764953613281,52.22111511230469,78.99781799316406,14.196800231933594,103.85911560058594,115.41132354736328,32.43230056762695,4.574999809265137,,18.796411514282227,9.38504695892334,17.624574661254883,48.19920349121094,41.42750930786133,,,,70.31505584716797,11.008333206176758,,58.32277297973633,21.790895462036133,71.0999984741211,46.656158447265625,88.01204681396484,39.7996826171875,19.921905517578125,76.14789581298828,61.60097122192383,38.419944763183594,42.517799377441406,48.93000030517578,48.62845993041992,38.13432693481445,81.13662719726562,8.261871337890625,8.324965476989746,144.7383270263672,111.62000274658203,71.2235336303711,42.31999969482422,5.980000019073486,,104.81271362304688,,97.90249633789062,9.357983589172363,,35.7934455871582,17.839599609375,25.235305786132812,43.7400016784668,68.30233001708984,37.96662521362305,38.69225311279297,81.1884536743164,95.4993667602539,50.42379379272461,74.62083435058594,,11.613460540771484,19.72576904296875,79.23163604736328,84.17156219482422,,93.33696746826172,62.625762939453125,25.349260330200195,79.37848663330078,,84.22000122070312,72.43368530273438,29.24327850341797,71.89876556396484,18.779184341430664,29.627145767211914,43.05659484863281,9.690977096557617,33.38999938964844,,49.829532623291016,75.29566955566406,62.099998474121094,29.302213668823242,28.068267822265625,,24.758087158203125,38.75775146484375,54.21733856201172,86.54795837402344,141.03077697753906,6.556604385375977,39.82431411743164,,18.606531143188477,18.18548583984375,95.48605346679688,26.615148544311523,43.06935501098633,34.501617431640625,52.41507339477539,28.570188522338867,64.92103576660156,131.69003295898438,80.37369537353516,28.710552215576172,0.46072205901145935,70.820556640625,10.010000228881836,35.514469146728516,21.065000534057617,,33.40999984741211,95.29591369628906
2015-02-01,28.50612449645996,,75.2472152709961,79.0999984741211,46.91543197631836,34.95812225341797,70.38336944580078,64.23999786376953,69.51000213623047,51.22652053833008,21.885866165161133,3.109999895095825,49.430992126464844,19.007999420166016,4.325624942779541,26.558284759521484,12.746147155761719,,62.14829635620117,9.658272743225098,23.479999542236328,642.6799926757812,131.9368438720703,25.831464767456055,30.533634185791016,60.17167663574219,1219.8870849609375,6.03000020980835,44.06153869628906,19.18372344970703,,63.058143615722656,37.53367614746094,18.360000610351562,33.351097106933594,36.87578201293945,57.522151947021484,55.06083297729492,80.9793930053711,13.299400329589844,105.92198181152344,118.61566925048828,33.26594161987305,4.677499771118164,,21.17923355102539,9.66970157623291,18.695035934448242,55.643226623535156,38.984413146972656,,,,74.7804183959961,12.373332977294922,,63.15834426879883,24.27035903930664,79.68000030517578,47.99508285522461,90.21565246582031,41.89451217651367,21.767499923706055,84.1810073852539,72.14271545410156,41.99760818481445,43.24958419799805,61.68000030517578,54.73303985595703,42.16777038574219,86.63199615478516,9.27100658416748,7.8389363288879395,151.47406005859375,118.12000274658203,84.96910858154297,59.75,6.7220001220703125,,109.68885803222656,,106.5084228515625,9.505324363708496,,36.972286224365234,18.312423706054688,28.863571166992188,49.290000915527344,70.60993957519531,35.98708724975586,44.24686050415039,89.22021484375,115.75408935546875,54.88951110839844,78.45260620117188,,11.198811531066895,22.64517593383789,80.44865417480469,90.33122253417969,,98.59101867675781,67.13048553466797,25.5103759765625,89.51605987548828,,83.11000061035156,76.92338562011719,34.0327262878418,77.21825408935547,20.018369674682617,30.78228187561035,42.33438491821289,9.881608963012695,37.540000915527344,,52.65862274169922,76.48133087158203,67.11000061035156,30.818220138549805,28.92190170288086,,27.339723587036133,43.370361328125,62.737998962402344,91.78611755371094,149.7754364013672,7.072966575622559,41.677459716796875,,19.689929962158203,20.67340087890625,99.22198486328125,28.214061737060547,47.82157897949219,37.447906494140625,57.05945587158203,29.93671417236328,68.54755401611328,139.04010009765625,86.04092407226562,29.478710174560547,0.5293503999710083,75.78351593017578,12.75,37.251564025878906,23.703332901000977,,34.65999984741211,98.9800796508789
2015-03-01,27.72081184387207,,78.3062744140625,73.94000244140625,50.83086013793945,34.8154296875,67.84819793701172,58.63999938964844,71.05000305175781,54.27899932861328,19.792377471923828,2.680000066757202,48.87288284301758,18.604999542236328,4.408124923706055,27.753068923950195,13.30376148223877,,63.059696197509766,9.609838485717773,24.110000610351562,682.1599731445312,132.0752410888672,25.621294021606445,30.08739471435547,60.82448959350586,1147.5994873046875,6.670000076293945,45.53493881225586,20.033775329589844,,60.87501907348633,41.05571365356445,18.440000534057617,33.06501388549805,37.14655685424805,56.68603515625,53.91015625,82.28382110595703,13.0108003616333,103.84122467041016,126.63443756103516,33.23737716674805,4.696249961853027,,19.758193969726562,9.376490592956543,18.280729293823242,55.5541877746582,39.44902038574219,,,,72.3785400390625,12.145000457763672,,65.55874633789062,25.372894287109375,81.1500015258789,46.2933349609375,89.34487915039062,45.39008331298828,21.68105125427246,83.84741973876953,72.78390502929688,44.32499313354492,42.624027252197266,61.290000915527344,52.36674880981445,42.063011169433594,88.87922668457031,9.157530784606934,7.818188190460205,141.60577392578125,114.94000244140625,88.56273651123047,59.790000915527344,6.989999771118164,,107.27820587158203,20.0,102.60734558105469,8.881460189819336,,38.903717041015625,17.1043758392334,29.01055145263672,48.689998626708984,68.48603057861328,34.457096099853516,44.900062561035156,88.33382415771484,114.7876205444336,57.51069259643555,80.01757049560547,,10.01593017578125,22.00270652770996,78.61608123779297,87.4343032836914,,98.39974212646484,65.88796997070312,24.163345336914062,88.9017333984375,,83.8499984741211,75.58502197265625,34.662105560302734,77.32801055908203,21.382463455200195,31.394737243652344,43.29950714111328,9.842732429504395,37.150001525878906,,47.62400436401367,74.70283508300781,69.01000213623047,28.860937118530273,31.242305755615234,,25.481449127197266,44.75241470336914,63.61027145385742,98.3271484375,153.074951171875,6.0248026847839355,40.3150634765625,,20.073347091674805,19.857542037963867,97.64875030517578,25.071361541748047,47.749019622802734,34.97076416015625,55.992855072021484,26.48134994506836,70.00059509277344,135.6175079345703,81.5711441040039,27.045669555664062,0.5041688680648804,89.58345031738281,12.109999656677246,36.68198776245117,24.34666633605957,,36.16999816894531,100.26563262939453
2015-04-01,27.88121795654297,,77.43702697753906,76.05999755859375,49.89493942260742,35.902488708496094,67.3643798828125,56.83000183105469,73.77999877929688,54.35431671142578,17.36219596862793,2.259999990463257,48.84553146362305,21.089000701904297,4.000625133514404,27.009143829345703,12.527180671691895,,65.63776397705078,8.871582984924316,30.190000534057617,672.6599731445312,126.14379119873047,23.91786003112793,30.15203857421875,63.78595733642578,1220.2125244140625,12.760000228881836,44.866085052490234,19.82537841796875,,66.08548736572266,37.734535217285156,18.649999618530273,34.02392578125,35.29836654663086,50.10493850708008,52.30855941772461,79.08609771728516,12.426799774169922,103.55660247802734,119.57135009765625,31.923587799072266,4.446249961853027,,20.849550247192383,10.217320442199707,17.904502868652344,52.126007080078125,39.16824722290039,,,,75.22722625732422,12.333333015441895,,63.23665237426758,22.628921508789062,76.41000366210938,50.71371078491211,96.13232421875,41.74394607543945,21.899057388305664,87.6629409790039,71.14727783203125,42.569915771484375,44.2877311706543,64.70999908447266,53.39732360839844,40.0113639831543,89.1492691040039,8.964620590209961,8.04080867767334,145.29978942871094,122.0199966430664,88.32398223876953,59.66999816894531,7.547999858856201,,108.53489685058594,25.06999969482422,111.99544525146484,9.474315643310547,,38.03767395019531,15.784591674804688,27.345617294311523,41.689998626708984,66.45941162109375,33.088314056396484,50.26051330566406,83.60688781738281,108.08075714111328,56.229217529296875,77.41704559326172,,10.649077415466309,21.035133361816406,71.61223602294922,86.80420684814453,,105.01494598388672,65.17549896240234,25.152441024780273,91.99166870117188,,82.9800033569336,73.18267059326172,32.89677429199219,78.95787048339844,20.595930099487305,28.711669921875,41.89634704589844,9.412376403808594,33.459999084472656,,48.04069137573242,77.11773681640625,68.11000061035156,29.107595443725586,28.083839416503906,,25.287113189697266,39.56110382080078,65.20650482177734,93.53834533691406,140.73609924316406,6.4974260330200195,39.1978759765625,,19.91547203063965,19.3539981842041,92.5813217163086,25.33872413635254,47.1890754699707,41.834190368652344,50.44359588623047,27.457441329956055,71.1711654663086,129.78704833984375,79.93053436279297,27.6481990814209,0.5347611904144287,85.79875946044922,11.520000457763672,37.0815315246582,24.6200008392334,,38.34000015258789,100.0326919555664
2015-05-01,29.024085998535156,,81.12889099121094,79.08999633789062,54.832794189453125,38.818458557128906,68.13729858398438,54.150001525878906,76.2699966430664,55.500953674316406,17.66048812866211,2.2799999713897705,50.09415817260742,21.46150016784668,4.369375228881836,30.25779151916504,12.907271385192871,,68.78521728515625,11.239009857177734,31.579999923706055,673.6199951171875,123.66212463378906,23.952369689941406,31.502092361450195,68.35737609863281,1155.377685546875,12.279999732971191,45.082435607910156,21.317182540893555,,65.43678283691406,39.75986099243164,19.790000915527344,32.940696716308594,36.51601791381836,48.035064697265625,52.21742630004883,80.79613494873047,12.310400009155273,101.52681732177734,119.51293182373047,34.749977111816406,4.324999809265137,,21.196680068969727,9.648276329040527,19.279531478881836,57.6288948059082,37.65907669067383,,,,77.85336303710938,11.358332633972168,,63.31660842895508,23.27037239074707,74.98999786376953,50.499385833740234,96.85429382324219,43.26169204711914,23.064298629760742,90.73786163330078,76.52115631103516,43.35047149658203,45.40187454223633,71.91000366210938,56.06269073486328,40.02009201049805,101.47669982910156,8.68831729888916,7.88386344909668,148.42735290527344,125.69000244140625,87.58512115478516,49.709999084472656,8.01200008392334,,111.34869384765625,26.93000030517578,112.78124237060547,9.36030387878418,,38.89962387084961,15.777050018310547,28.055383682250977,41.779998779296875,66.91797637939453,33.30066680908203,51.545352935791016,87.07682037353516,101.83851623535156,56.229217529296875,79.93317413330078,,10.7879638671875,22.24241828918457,72.34454345703125,86.16612243652344,,104.00948333740234,67.41143035888672,26.628360748291016,95.7400894165039,,87.4800033569336,73.37816619873047,33.20378494262695,76.07845306396484,22.470792770385742,29.568565368652344,41.52587127685547,9.672361373901367,32.86000061035156,,48.74333953857422,76.5342025756836,71.04000091552734,29.3946590423584,29.66917610168457,,26.00467300415039,40.311222076416016,64.37762451171875,99.39995574951172,141.94281005859375,7.070830345153809,37.67829132080078,,20.42143440246582,19.950944900512695,94.17377471923828,25.920936584472656,49.711036682128906,40.30324172973633,49.81041717529297,27.26222038269043,72.29703521728516,134.11773681640625,73.33081817626953,25.592409133911133,0.5330749154090881,100.19672393798828,13.260000228881836,37.10062789916992,28.248332977294922,,41.27000045776367,101.71513366699219
2015-06-01,28.060314178466797,,81.75402069091797,81.01000213623047,52.10275650024414,35.6053581237793,63.92998504638672,50.08000183105469,69.81999969482422,53.4565544128418,16.9460506439209,2.4000000953674316,51.04460144042969,21.704500198364258,5.108749866485596,30.51211929321289,13.115415573120117,,67.4883041381836,10.089834213256836,33.310001373291016,666.9000244140625,122.86038208007812,22.50970458984375,33.47703170776367,65.08463287353516,1135.0013427734375,12.84000015258789,41.61262512207031,24.13848876953125,,65.05328369140625,42.606163024902344,19.65999984741211,30.49333381652832,35.42430114746094,48.54863739013672,51.13853454589844,78.06439971923828,12.099800109863281,98.79930877685547,113.20159149169922,34.253971099853516,4.434999942779541,,19.85878562927246,9.291520118713379,18.943613052368164,54.3966064453125,36.11866760253906,,,,80.6540298461914,11.994999885559082,,67.8087158203125,24.435596466064453,78.98999786376953,47.248146057128906,101.0793228149414,46.918540954589844,22.643310546875,88.06243896484375,76.05353546142578,45.643638610839844,42.0566291809082,71.2300033569336,52.85195541381836,40.56667709350586,103.6190414428711,8.596681594848633,8.011114120483398,146.010986328125,120.3499984741211,90.66095733642578,46.97999954223633,8.265999794006348,,112.564208984375,28.190000534057617,109.8862075805664,8.835853576660156,,38.601722717285156,14.964265823364258,25.99627113342285,39.75,66.22268676757812,32.16574478149414,53.44623565673828,86.85018920898438,92.778564453125,53.49153137207031,78.60384368896484,,9.693020820617676,21.912010192871094,69.59648895263672,86.80833435058594,,100.47872161865234,68.56320190429688,23.67650032043457,92.63300323486328,,85.77999877929688,71.78282165527344,31.17747688293457,74.510498046875,19.537822723388672,28.19124412536621,41.80345916748047,9.200355529785156,31.190000534057617,,46.31794357299805,74.50239562988281,66.20999908447266,28.153133392333984,29.627819061279297,,24.70138168334961,44.12363052368164,62.872615814208984,95.06554412841797,141.3158721923828,6.993460178375244,38.968082427978516,,20.119678497314453,19.40241050720215,91.92166900634766,24.761573791503906,46.16935348510742,38.2192268371582,48.40898895263672,18.389556884765625,69.78395080566406,134.32884216308594,70.04322052001953,24.182533264160156,0.4866587221622467,87.6553726196289,11.6899995803833,34.37929153442383,29.116666793823242,,41.02000045776367,100.36983489990234
2015-07-01,27.136381149291992,,87.10122680664062,81.98999786376953,47.346221923828125,35.0146369934082,63.94020080566406,50.58000183105469,76.70999908447266,56.28556823730469,15.306118965148926,1.9299999475479126,49.51384735107422,26.8075008392334,5.279375076293945,30.444305419921875,12.790458679199219,,61.92839050292969,9.525378227233887,27.219999313354492,700.9400024414062,127.68732452392578,22.439327239990234,36.34869384765625,59.19142150878906,1225.890380859375,15.039999961853027,45.39234924316406,24.326208114624023,,60.305843353271484,45.970489501953125,20.969999313354492,31.961057662963867,37.6948127746582,54.92567443847656,53.17906951904297,84.00817108154297,14.844599723815918,97.54913330078125,121.7843246459961,35.44729995727539,4.503749847412109,,20.55304718017578,8.90164852142334,19.147401809692383,56.18638229370117,38.98493957519531,,,,79.09790802001953,12.146666526794434,,70.301513671875,26.51655387878418,78.02999877929688,43.134639739990234,101.75218200683594,48.68756103515625,25.114044189453125,92.63381958007812,78.20365905761719,45.70097351074219,39.26448440551758,74.11000061035156,47.440677642822266,41.23530197143555,115.0754165649414,8.49359130859375,7.9503374099731445,147.08631896972656,134.13999938964844,90.5710678100586,44.29999923706055,9.54800033569336,,119.03802490234375,28.440000534057617,108.86060333251953,8.69638729095459,,40.32676315307617,14.167887687683105,24.83127212524414,35.06999969482422,66.24465942382812,31.030500411987305,56.26897048950195,91.94696807861328,96.75042724609375,52.13241958618164,80.97811126708984,,9.91073226928711,23.015960693359375,72.77745056152344,83.70576477050781,,100.06481170654297,66.33824157714844,22.532371520996094,97.22926330566406,,88.56999969482422,70.3356704711914,32.32878494262695,76.35304260253906,18.58341407775879,27.832263946533203,44.11699295043945,10.190237998962402,30.540000915527344,50.85686492919922,43.71405029296875,81.4915771484375,64.51000213623047,29.723987579345703,32.06717300415039,,24.964487075805664,45.852603912353516,67.8020248413086,104.57433319091797,157.43154907226562,6.6321702003479,42.0546760559082,,22.655811309814453,17.524761199951172,90.15828704833984,27.824831008911133,47.25545883178711,40.42666244506836,51.08670425415039,18.067445755004883,66.39733123779297,146.5059051513672,67.61385345458984,23.86836814880371,0.48278680443763733,86.57532501220703,10.619999885559082,34.07217788696289,30.97166633605957,,36.349998474121094,103.83026123046875
2015-08-01,25.225879669189453,,79.63371276855469,78.56999969482422,45.34132766723633,33.22035217285156,61.97639465332031,46.75,71.30999755859375,53.07154083251953,14.186372756958008,1.809999942779541,50.2325439453125,25.644500732421875,4.674375057220459,27.4195499420166,11.872157096862793,,59.89794921875,9.588557243347168,23.399999618530273,715.989990234375,115.7396011352539,25.531770706176758,32.89186477661133,53.7059326171875,1230.8885498046875,14.8100004196167,44.154441833496094,23.14509391784668,,59.167537689208984,42.468143463134766,20.020000457763672,35.35908889770508,37.6729850769043,52.79598617553711,49.38261032104492,84.0160903930664,14.200200080871582,91.69001770019531,117.38399505615234,34.72615432739258,4.377500057220459,,18.860376358032227,7.7917890548706055,19.033191680908203,56.04392623901367,38.49258804321289,,,,68.40040588378906,10.731666564941406,,65.15811920166016,27.12387466430664,76.26000213623047,41.70735549926758,94.6910171508789,45.237178802490234,24.21201515197754,88.7971420288086,70.00679016113281,44.111083984375,36.206790924072266,70.61000061035156,45.08538055419922,43.08284378051758,108.96346282958984,8.024937629699707,7.370864391326904,129.23036193847656,121.41000366210938,85.45780181884766,47.84000015258789,8.428000450134277,,113.38587951660156,25.079999923706055,103.52182006835938,7.835930824279785,,39.623374938964844,13.052964210510254,23.20001792907715,30.920000076293945,62.17837142944336,27.846750259399414,53.6086540222168,91.49911499023438,92.77033233642578,48.21034622192383,76.52257537841797,,9.111898422241211,23.853702545166016,70.13711547851562,79.10397338867188,,91.35498046875,62.931060791015625,22.213254928588867,79.01654052734375,,85.51000213623047,66.4521484375,31.01629638671875,66.22761535644531,17.75748634338379,26.730710983276367,44.19032287597656,9.746909141540527,32.040000915527344,46.82627868652344,41.29143142700195,75.50923919677734,61.0,28.45051383972168,28.193628311157227,,25.95454978942871,44.03700256347656,62.799015045166016,104.54776763916016,152.9312744140625,6.2784318923950195,34.69284439086914,,22.606794357299805,17.38567543029785,84.67755889892578,27.415494918823242,43.94729995727539,37.67384719848633,55.04389572143555,16.017650604248047,59.597251892089844,138.65611267089844,62.466461181640625,24.629318237304688,0.5440122485160828,75.56038665771484,9.5600004196167,31.758922576904297,27.3700008392334,,33.119998931884766,110.73384094238281
2015-09-01,24.787227630615234,,83.00421905517578,82.22000122070312,46.15254211425781,30.78908920288086,64.41313171386719,44.13999938964844,69.05999755859375,51.33543395996094,13.028511047363281,1.7200000286102295,48.832515716552734,25.594499588012695,3.8243749141693115,27.708580017089844,11.554717063903809,,60.50137710571289,9.515484809875488,22.030000686645508,723.8300170898438,116.71866607666016,25.79585075378418,32.48951721191406,54.60794448852539,1219.27587890625,12.680000305175781,46.29566955566406,22.495384216308594,,50.59117889404297,43.11857986450195,20.68000030517578,36.4105224609375,36.77165222167969,53.070030212402344,49.893653869628906,87.31111907958984,14.404999732971191,82.39913177490234,121.505615234375,36.67266845703125,4.112500190734863,,19.130014419555664,7.7078022956848145,19.20339012145996,55.75007629394531,39.5661735534668,,,,61.89324951171875,9.676667213439941,,63.364933013916016,26.278587341308594,66.66000366210938,38.775634765625,96.45182037353516,45.589717864990234,21.827425003051758,88.38772583007812,71.02283477783203,42.350074768066406,33.83832550048828,74.5199966430664,40.534183502197266,41.39365768432617,111.76005554199219,7.851363182067871,7.001748561859131,123.54149627685547,115.80000305175781,84.38917541503906,42.75,8.496000289916992,,110.12872314453125,25.209999084472656,105.1902084350586,7.499495983123779,,39.183597564697266,13.079713821411133,23.657079696655273,30.09000015258789,61.73153305053711,26.565839767456055,51.84781265258789,90.73702239990234,88.63384246826172,44.66130828857422,73.34956359863281,,8.316313743591309,24.716495513916016,72.44728088378906,68.5019302368164,,90.29462432861328,62.46675491333008,23.653444290161133,81.78097534179688,,83.93000030517578,64.7069320678711,28.729028701782227,64.97184753417969,20.61268424987793,24.646167755126953,44.702171325683594,10.041614532470703,30.84000015258789,45.485809326171875,41.60687255859375,77.2883529663086,59.31999969482422,29.029369354248047,29.559656143188477,,25.479618072509766,41.640480041503906,59.798851013183594,100.3761215209961,158.75027465820312,5.636525630950928,28.49420928955078,,21.70183753967285,17.62702751159668,85.04486846923828,27.83505630493164,46.789390563964844,38.56708908081055,58.06696701049805,14.621843338012695,56.58066177368164,141.21432495117188,61.693389892578125,22.81064224243164,0.5990356802940369,77.72052764892578,9.399999618530273,30.928335189819336,28.666667938232422,,31.739999771118164,108.59127807617188
2015-10-01,26.85470962524414,,90.55621337890625,88.66000366210938,49.18791961669922,33.916263580322266,70.16712951660156,55.189998626708984,60.81999969482422,58.117530822753906,14.87325668334961,2.119999885559082,51.25253677368164,31.295000076293945,4.031875133514404,32.65183639526367,12.327094078063965,,66.19029235839844,9.401768684387207,23.40999984741211,784.4099731445312,131.97813415527344,24.494403839111328,35.717193603515625,54.35464859008789,1433.5654296875,11.819999694824219,50.120765686035156,22.517597198486328,,56.497093200683594,46.91857147216797,22.219999313354492,39.823463439941406,37.73148727416992,54.6373405456543,52.16581726074219,92.15544128417969,12.80459976196289,78.55160522460938,132.8938446044922,36.752262115478516,4.526249885559082,,21.024805068969727,7.733592987060547,20.847156524658203,60.647464752197266,44.830501556396484,,,,65.75927734375,9.276666641235352,,59.465919494628906,26.350191116333008,65.48999786376953,43.692100524902344,95.61811828613281,41.166439056396484,24.91756248474121,96.92816162109375,70.82917022705078,46.2070426940918,36.18256759643555,77.3499984741211,44.17672348022461,43.804256439208984,129.44338989257812,8.568808555603027,7.489443302154541,134.12374877929688,110.19999694824219,92.27081298828125,57.06999969482422,6.872000217437744,,118.61490631103516,27.479999542236328,121.70204162597656,7.934752941131592,,40.5657958984375,14.21043872833252,27.84909439086914,31.559999465942383,68.10850524902344,26.635887145996094,55.21855926513672,97.63485717773438,99.21367645263672,48.652400970458984,80.00361633300781,6.507441520690918,8.809814453125,26.371814727783203,69.93196105957031,78.09786224365234,,87.24886322021484,67.25031280517578,26.572856903076172,89.77940368652344,,90.66999816894531,72.762939453125,30.80905532836914,69.49440002441406,21.174758911132812,26.84119415283203,47.36885070800781,11.424686431884766,33.08000183105469,50.24836349487305,55.853065490722656,85.57520294189453,59.0099983215332,30.908390045166016,30.97739601135254,,32.4246711730957,43.31891632080078,65.11032104492188,117.99837493896484,168.337646484375,6.635756492614746,37.668121337890625,,24.994173049926758,19.913129806518555,94.30699920654297,31.27260398864746,57.2696533203125,45.869224548339844,59.711021423339844,16.164064407348633,64.04203033447266,159.76495361328125,64.62460327148438,26.201396942138672,0.6894379258155823,69.93685150146484,11.0,33.25738525390625,26.833332061767578,,35.439998626708984,116.90843200683594
