Date,MMM,AOS,ALLE,AME,ADP,AXON,BA,BR,BLDR,CHRW,CARR,CAT,CTAS,CPRT,CSX,CMI,DAY,DE,DAL,DOV,ETN,EME,EMR,EFX,EXPD,FAST,FDX,FTV,GE,GEV,GNRC,GD,HON,HWM,HUBB,HII,IEX,ITW,IR,JBHT,J,JCI,LHX,LDOS,LII,LMT,MAS,NDSN,NSC,NOC
2015-01-01,95.48605346679688,25.03296661376953,47.925594329833984,44.55672073364258,65.38427734375,27.010000228881836,127.14389038085938,39.72407150268555,5.920000076293945,55.13764953613281,,60.334686279296875,17.624574661254883,4.574999809265137,9.38504695892334,103.85911560058594,,70.31505584716797,41.42750930786133,46.656158447265625,48.62845993041992,38.419944763183594,42.517799377441406,76.14789581298828,38.13432693481445,8.324965476989746,144.7383270263672,,97.90249633789062,,43.7400016784668,104.81271362304688,74.62083435058594,,84.17156219482422,95.4993667602539,62.625762939453125,72.43368530273438,,71.89876556396484,29.24327850341797,29.627145767211914,54.21733856201172,24.758087158203125,86.54795837402344,141.03077697753906,18.606531143188477,64.92103576660156,80.37369537353516,131.69003295898438
2015-02-01,99.22198486328125,26.558284759521484,51.22652053833008,49.430992126464844,70.38336944580078,23.479999542236328,131.9368438720703,44.06153869628906,6.03000020980835,57.522151947021484,,63.058143615722656,18.695035934448242,4.677499771118164,9.66970157623291,105.92198181152344,,74.7804183959961,38.984413146972656,47.99508285522461,54.73303985595703,41.99760818481445,43.24958419799805,84.1810073852539,42.16777038574219,7.8389363288879395,151.47406005859375,,106.5084228515625,,49.290000915527344,109.68885803222656,78.45260620117188,,90.33122253417969,115.75408935546875,67.13048553466797,76.92338562011719,,77.21825408935547,34.0327262878418,30.78228187561035,62.737998962402344,27.339723587036133,91.78611755371094,149.7754364013672,19.689929962158203,68.54755401611328,86.04092407226562,139.04010009765625
2015-03-01,97.64875030517578,27.753068923950195,54.27899932861328,48.87288284301758,67.84819793701172,24.110000610351562,132.0752410888672,45.53493881225586,6.670000076293945,56.68603515625,,60.87501907348633,18.280729293823242,4.696249961853027,9.376490592956543,103.84122467041016,,72.3785400390625,39.44902038574219,46.2933349609375,52.36674880981445,44.32499313354492,42.624027252197266,83.84741973876953,42.063011169433594,7.818188190460205,141.60577392578125,,102.60734558105469,,48.689998626708984,107.27820587158203,80.01757049560547,,87.4343032836914,114.7876205444336,65.88796997070312,75.58502197265625,,77.32801055908203,34.662105560302734,31.394737243652344,63.61027145385742,25.481449127197266,98.3271484375,153.074951171875,20.073347091674805,70.00059509277344,81.5711441040039,135.6175079345703
2015-04-01,92.5813217163086,27.009143829345703,54.35431671142578,48.84553146362305,67.3643798828125,30.190000534057617,126.14379119873047,44.866085052490234,12.760000228881836,50.10493850708008,,66.08548736572266,17.904502868652344,4.446249961853027,10.217320442199707,103.55660247802734,,75.22722625732422,39.16824722290039,50.71371078491211,53.39732360839844,42.569915771484375,44.2877311706543,87.6629409790039,40.0113639831543,8.04080867767334,145.29978942871094,,111.99544525146484,,41.689998626708984,108.53489685058594,77.41704559326172,,86.80420684814453,108.08075714111328,65.17549896240234,73.18267059326172,,78.95787048339844,32.89677429199219,28.711669921875,65.20650482177734,25.287113189697266,93.53834533691406,140.73609924316406,19.91547203063965,71.1711654663086,79.93053436279297,129.78704833984375
2015-05-01,94.17377471923828,30.25779151916504,55.500953674316406,50.09415817260742,68.13729858398438,31.579999923706055,123.66212463378906,45.082435607910156,12.279999732971191,48.035064697265625,,65.43678283691406,19.279531478881836,4.324999809265137,9.648276329040527,101.52681732177734,,77.85336303710938,37.65907669067383,50.499385833740234,56.06269073486328,43.35047149658203,45.40187454223633,90.73786163330078,40.02009201049805,7.88386344909668,148.42735290527344,,112.78124237060547,,41.779998779296875,111.34869384765625,79.93317413330078,,86.16612243652344,101.83851623535156,67.41143035888672,73.37816619873047,,76.07845306396484,33.20378494262695,29.568565368652344,64.37762451171875,26.00467300415039,99.39995574951172,141.94281005859375,20.42143440246582,72.29703521728516,73.33081817626953,134.11773681640625
2015-06-01,91.92166900634766,30.51211929321289,53.4565544128418,51.04460144042969,63.92998504638672,33.310001373291016,122.86038208007812,41.61262512207031,12.84000015258789,48.54863739013672,,65.05328369140625,18.943613052368164,4.434999942779541,9.291520118713379,98.79930877685547,,80.6540298461914,36.11866760253906,47.248146057128906,52.85195541381836,45.643638610839844,42.0566291809082,88.06243896484375,40.56667709350586,8.011114120483398,146.010986328125,,109.8862075805664,,39.75,112.564208984375,78.60384368896484,,86.80833435058594,92.778564453125,68.56320190429688,71.78282165527344,,74.510498046875,31.17747688293457,28.19124412536621,62.872615814208984,24.70138168334961,95.06554412841797,141.3158721923828,20.119678497314453,69.78395080566406,70.04322052001953,134.32884216308594
2015-07-01,90.15828704833984,30.444305419921875,56.28556823730469,49.51384735107422,63.94020080566406,27.219999313354492,127.68732452392578,45.39234924316406,15.039999961853027,54.92567443847656,,60.305843353271484,19.147401809692383,4.503749847412109,8.90164852142334,97.54913330078125,,79.09790802001953,38.98493957519531,43.134639739990234,47.440677642822266,45.70097351074219,39.26448440551758,92.63381958007812,41.23530197143555,7.9503374099731445,147.08631896972656,,108.86060333251953,,35.06999969482422,119.03802490234375,80.97811126708984,,83.70576477050781,96.75042724609375,66.33824157714844,70.3356704711914,,76.35304260253906,32.32878494262695,27.832263946533203,67.8020248413086,24.964487075805664,104.57433319091797,157.43154907226562,22.655811309814453,66.39733123779297,67.61385345458984,146.5059051513672
2015-08-01,84.67755889892578,27.4195499420166,53.07154083251953,50.2325439453125,61.97639465332031,23.399999618530273,115.7396011352539,44.154441833496094,14.8100004196167,52.79598617553711,,59.167537689208984,19.033191680908203,4.377500057220459,7.7917890548706055,91.69001770019531,,68.40040588378906,38.49258804321289,41.70735549926758,45.08538055419922,44.111083984375,36.206790924072266,88.7971420288086,43.08284378051758,7.370864391326904,129.23036193847656,,103.52182006835938,,30.920000076293945,113.38587951660156,76.52257537841797,,79.10397338867188,92.77033233642578,62.931060791015625,66.4521484375,,66.22761535644531,31.01629638671875,26.730710983276367,62.799015045166016,25.95454978942871,104.54776763916016,152.9312744140625,22.606794357299805,59.597251892089844,62.466461181640625,138.65611267089844
2015-09-01,85.04486846923828,27.708580017089844,51.33543395996094,48.832515716552734,64.41313171386719,22.030000686645508,116.71866607666016,46.29566955566406,12.680000305175781,53.070030212402344,,50.59117889404297,19.20339012145996,4.112500190734863,7.7078022956848145,82.39913177490234,,61.89324951171875,39.5661735534668,38.775634765625,40.534183502197266,42.350074768066406,33.83832550048828,88.38772583007812,41.39365768432617,7.001748561859131,123.54149627685547,,105.1902084350586,,30.09000015258789,110.12872314453125,73.34956359863281,,68.5019302368164,88.63384246826172,62.46675491333008,64.7069320678711,,64.97184753417969,28.729028701782227,24.646167755126953,59.798851013183594,25.479618072509766,100.3761215209961,158.75027465820312,21.70183753967285,56.58066177368164,61.693389892578125,141.21432495117188
2015-10-01,94.30699920654297,32.65183639526367,58.117530822753906,51.25253677368164,70.16712951660156,23.40999984741211,131.97813415527344,50.120765686035156,11.819999694824219,54.6373405456543,,56.497093200683594,20.847156524658203,4.526249885559082,7.733592987060547,78.55160522460938,,65.75927734375,44.830501556396484,43.692100524902344,44.17672348022461,46.2070426940918,36.18256759643555,96.92816162109375,43.804256439208984,7.489443302154541,134.12374877929688,,121.70204162597656,,31.559999465942383,118.61490631103516,80.00361633300781,,78.09786224365234,99.21367645263672,67.25031280517578,72.762939453125,,69.49440002441406,30.80905532836914,26.84119415283203,65.11032104492188,32.4246711730957,117.99837493896484,168.337646484375,24.994173049926758,64.04203033447266,64.62460327148438,159.76495361328125
