Date,ABNB,MO,AMZN,APTV,ADM,AZO,BBY,BKNG,BF-B,BG,CPB,KMX,CCL,CMG,CHD,CLX,KO,CL,CAG,STZ,COST,DRI,DECK,DG,DLTR,DPZ,DASH,DHI,EBAY,EL,EXPE,F,GRMN,GIS,GM,GPC,HAS,HSY,HLT,HD,HRL,K,KVUE,KDP,KMB,KHC,KR,LW,LVS,LEN
2015-01-01,,26.615148544311523,17.726499557495117,54.178733825683594,34.045467376708984,596.9600219726562,23.865291595458984,995.1284790039062,29.594547271728516,65.87394714355469,32.43230056762695,62.099998474121094,37.50807189941406,14.196800231933594,35.048011779785156,78.99781799316406,29.302213668823242,52.22111511230469,19.298004150390625,95.29591369628906,115.41132354736328,39.7996826171875,11.008333206176758,58.32277297973633,71.0999984741211,88.01204681396484,,21.790895462036133,19.921905517578125,61.60097122192383,81.13662719726562,8.261871337890625,37.96662521362305,35.7934455871582,25.235305786132812,68.30233001708984,38.69225311279297,79.23163604736328,50.42379379272461,81.1884536743164,19.72576904296875,43.05659484863281,,9.690977096557617,75.29566955566406,,28.068267822265625,,39.82431411743164,38.75775146484375
2015-02-01,,28.214061737060547,19.007999420166016,62.14829635620117,34.95812225341797,642.6799926757812,25.831464767456055,1219.8870849609375,30.533634185791016,60.17167663574219,33.26594161987305,67.11000061035156,37.53367614746094,13.299400329589844,36.87578201293945,80.9793930053711,30.818220138549805,55.06083297729492,19.18372344970703,98.9800796508789,118.61566925048828,41.89451217651367,12.373332977294922,63.15834426879883,79.68000030517578,90.21565246582031,,24.27035903930664,21.767499923706055,72.14271545410156,86.63199615478516,9.27100658416748,35.98708724975586,36.972286224365234,28.863571166992188,70.60993957519531,44.24686050415039,80.44865417480469,54.88951110839844,89.22021484375,22.64517593383789,42.33438491821289,,9.881608963012695,76.48133087158203,,28.92190170288086,,41.677459716796875,43.370361328125
2015-03-01,,25.071361541748047,18.604999542236328,63.059696197509766,34.8154296875,682.1599731445312,25.621294021606445,1147.5994873046875,30.08739471435547,60.82448959350586,33.23737716674805,69.01000213623047,41.05571365356445,13.0108003616333,37.14655685424805,82.28382110595703,28.860937118530273,53.91015625,20.033775329589844,100.26563262939453,126.63443756103516,45.39008331298828,12.145000457763672,65.55874633789062,81.1500015258789,89.34487915039062,,25.372894287109375,21.68105125427246,72.78390502929688,88.87922668457031,9.157530784606934,34.457096099853516,38.903717041015625,29.01055145263672,68.48603057861328,44.900062561035156,78.61608123779297,57.51069259643555,88.33382415771484,22.00270652770996,43.29950714111328,,9.842732429504395,74.70283508300781,,31.242305755615234,,40.3150634765625,44.75241470336914
2015-04-01,,25.33872413635254,21.089000701904297,65.63776397705078,35.902488708496094,672.6599731445312,23.91786003112793,1220.2125244140625,30.15203857421875,63.78595733642578,31.923587799072266,68.11000061035156,37.734535217285156,12.426799774169922,35.29836654663086,79.08609771728516,29.107595443725586,52.30855941772461,19.82537841796875,100.0326919555664,119.57135009765625,41.74394607543945,12.333333015441895,63.23665237426758,76.41000366210938,96.13232421875,,22.628921508789062,21.899057388305664,71.14727783203125,89.1492691040039,8.964620590209961,33.088314056396484,38.03767395019531,27.345617294311523,66.45941162109375,50.26051330566406,71.61223602294922,56.229217529296875,83.60688781738281,21.035133361816406,41.89634704589844,,9.412376403808594,77.11773681640625,,28.083839416503906,,39.1978759765625,39.56110382080078
2015-05-01,,25.920936584472656,21.46150016784668,68.78521728515625,38.818458557128906,673.6199951171875,23.952369689941406,1155.377685546875,31.502092361450195,68.35737609863281,34.749977111816406,71.04000091552734,39.75986099243164,12.310400009155273,36.51601791381836,80.79613494873047,29.3946590423584,52.21742630004883,21.317182540893555,101.71513366699219,119.51293182373047,43.26169204711914,11.358332633972168,63.31660842895508,74.98999786376953,96.85429382324219,,23.27037239074707,23.064298629760742,76.52115631103516,101.47669982910156,8.68831729888916,33.30066680908203,38.89962387084961,28.055383682250977,66.91797637939453,51.545352935791016,72.34454345703125,56.229217529296875,87.07682037353516,22.24241828918457,41.52587127685547,,9.672361373901367,76.5342025756836,,29.66917610168457,,37.67829132080078,40.311222076416016
2015-06-01,,24.761573791503906,21.704500198364258,67.4883041381836,35.6053581237793,666.9000244140625,22.50970458984375,1135.0013427734375,33.47703170776367,65.08463287353516,34.253971099853516,66.20999908447266,42.606163024902344,12.099800109863281,35.42430114746094,78.06439971923828,28.153133392333984,51.13853454589844,24.13848876953125,100.36983489990234,113.20159149169922,46.918540954589844,11.994999885559082,67.8087158203125,78.98999786376953,101.0793228149414,,24.435596466064453,22.643310546875,76.05353546142578,103.6190414428711,8.596681594848633,32.16574478149414,38.601722717285156,25.99627113342285,66.22268676757812,53.44623565673828,69.59648895263672,53.49153137207031,86.85018920898438,21.912010192871094,41.80345916748047,,9.200355529785156,74.50239562988281,,29.627819061279297,,38.968082427978516,44.12363052368164
2015-07-01,,27.824831008911133,26.8075008392334,61.92839050292969,35.0146369934082,700.9400024414062,22.439327239990234,1225.890380859375,36.34869384765625,59.19142150878906,35.44729995727539,64.51000213623047,45.970489501953125,14.844599723815918,37.6948127746582,84.00817108154297,29.723987579345703,53.17906951904297,24.326208114624023,103.83026123046875,121.7843246459961,48.68756103515625,12.146666526794434,70.301513671875,78.02999877929688,101.75218200683594,,26.51655387878418,25.114044189453125,78.20365905761719,115.0754165649414,8.49359130859375,31.030500411987305,40.32676315307617,24.83127212524414,66.24465942382812,56.26897048950195,72.77745056152344,52.13241958618164,91.94696807861328,23.015960693359375,44.11699295043945,,10.190237998962402,81.4915771484375,50.85686492919922,32.06717300415039,,42.0546760559082,45.852603912353516
2015-08-01,,27.415494918823242,25.644500732421875,59.89794921875,33.22035217285156,715.989990234375,25.531770706176758,1230.8885498046875,32.89186477661133,53.7059326171875,34.72615432739258,61.0,42.468143463134766,14.200200080871582,37.6729850769043,84.0160903930664,28.45051383972168,49.38261032104492,23.14509391784668,110.73384094238281,117.38399505615234,45.237178802490234,10.731666564941406,65.15811920166016,76.26000213623047,94.6910171508789,,27.12387466430664,24.21201515197754,70.00679016113281,108.96346282958984,8.024937629699707,27.846750259399414,39.623374938964844,23.20001792907715,62.17837142944336,53.6086540222168,70.13711547851562,48.21034622192383,91.49911499023438,23.853702545166016,44.19032287597656,,9.746909141540527,75.50923919677734,46.82627868652344,28.193628311157227,,34.69284439086914,44.03700256347656
2015-09-01,,27.83505630493164,25.594499588012695,60.50137710571289,30.78908920288086,723.8300170898438,25.79585075378418,1219.27587890625,32.48951721191406,54.60794448852539,36.67266845703125,59.31999969482422,43.11857986450195,14.404999732971191,36.77165222167969,87.31111907958984,29.029369354248047,49.893653869628906,22.495384216308594,108.59127807617188,121.505615234375,45.589717864990234,9.676667213439941,63.364933013916016,66.66000366210938,96.45182037353516,,26.278587341308594,21.827425003051758,71.02283477783203,111.76005554199219,7.851363182067871,26.565839767456055,39.183597564697266,23.657079696655273,61.73153305053711,51.84781265258789,72.44728088378906,44.66130828857422,90.73702239990234,24.716495513916016,44.702171325683594,,10.041614532470703,77.2883529663086,45.485809326171875,29.559656143188477,,28.49420928955078,41.640480041503906
2015-10-01,,31.27260398864746,31.295000076293945,66.19029235839844,33.916263580322266,784.4099731445312,24.494403839111328,1433.5654296875,35.717193603515625,54.35464859008789,36.752262115478516,59.0099983215332,46.91857147216797,12.80459976196289,37.73148727416992,92.15544128417969,30.908390045166016,52.16581726074219,22.517597198486328,116.90843200683594,132.8938446044922,41.166439056396484,9.276666641235352,59.465919494628906,65.48999786376953,95.61811828613281,,26.350191116333008,24.91756248474121,70.82917022705078,129.44338989257812,8.568808555603027,26.635887145996094,40.5657958984375,27.84909439086914,68.10850524902344,55.21855926513672,69.93196105957031,48.652400970458984,97.63485717773438,26.371814727783203,47.36885070800781,,11.424686431884766,85.57520294189453,50.24836349487305,30.97739601135254,,37.668121337890625,43.31891632080078
