Date,ACN,ADBE,AMD,AKAM,APH,ADI,AAPL,AMAT,APP,ANET,ADSK,AVGO,CDNS,CDW,CSCO,CTSH,GLW,CRWD,DDOG,DELL,EPAM,FFIV,FICO,FSLR,FTNT,IT,GEN,GDDY,HPE,HPQ,IBM,INTC,INTU,JBL,KEYS,KLAC,LRCX,MCHP,MU,MSFT,MPWR,MSI,NTAP,NVDA,NXPI,ON,ORCL,PLTR,PANW,PTC
2015-01-01,70.23245239257812,70.12999725341797,2.569999933242798,58.15999984741211,12.12531852722168,41.76224899291992,25.998571395874023,19.955020904541016,,3.944999933242798,54.0099983215332,7.785954475402832,17.989999771118164,30.364295959472656,18.796411514282227,48.19920349121094,17.839599609375,,,,48.93000030517578,111.62000274658203,71.2235336303711,42.31999969482422,5.980000019073486,84.22000122070312,9.357983589172363,,,11.613460540771484,93.33696746826172,25.349260330200195,79.37848663330078,18.779184341430664,33.38999938964844,49.829532623291016,6.556604385375977,18.18548583984375,28.570188522338867,34.501617431640625,43.06935501098633,52.41507339477539,28.710552215576172,0.46072205901145935,70.820556640625,10.010000228881836,35.514469146728516,,21.065000534057617,33.40999984741211
2015-02-01,75.2472152709961,79.0999984741211,3.109999895095825,69.51000213623047,12.746147155761719,46.91543197631836,28.50612449645996,21.885866165161133,,4.325624942779541,64.23999786376953,9.658272743225098,18.360000610351562,33.351097106933594,21.17923355102539,55.643226623535156,18.312423706054688,,,,61.68000030517578,118.12000274658203,84.96910858154297,59.75,6.7220001220703125,83.11000061035156,9.505324363708496,,,11.198811531066895,98.59101867675781,25.5103759765625,89.51605987548828,20.018369674682617,37.540000915527344,52.65862274169922,7.072966575622559,20.67340087890625,29.93671417236328,37.447906494140625,47.82157897949219,57.05945587158203,29.478710174560547,0.5293503999710083,75.78351593017578,12.75,37.251564025878906,,23.703332901000977,34.65999984741211
2015-03-01,78.3062744140625,73.94000244140625,2.680000066757202,71.05000305175781,13.30376148223877,50.83086013793945,27.72081184387207,19.792377471923828,,4.408124923706055,58.63999938964844,9.609838485717773,18.440000534057617,33.06501388549805,19.758193969726562,55.5541877746582,17.1043758392334,,,,61.290000915527344,114.94000244140625,88.56273651123047,59.790000915527344,6.989999771118164,83.8499984741211,8.881460189819336,20.0,,10.01593017578125,98.39974212646484,24.163345336914062,88.9017333984375,21.382463455200195,37.150001525878906,47.62400436401367,6.0248026847839355,19.857542037963867,26.48134994506836,34.97076416015625,47.749019622802734,55.992855072021484,27.045669555664062,0.5041688680648804,89.58345031738281,12.109999656677246,36.68198776245117,,24.34666633605957,36.16999816894531
2015-04-01,77.43702697753906,76.05999755859375,2.259999990463257,73.77999877929688,12.527180671691895,49.89493942260742,27.88121795654297,17.36219596862793,,4.000625133514404,56.83000183105469,8.871582984924316,18.649999618530273,34.02392578125,20.849550247192383,52.126007080078125,15.784591674804688,,,,64.70999908447266,122.0199966430664,88.32398223876953,59.66999816894531,7.547999858856201,82.9800033569336,9.474315643310547,25.06999969482422,,10.649077415466309,105.01494598388672,25.152441024780273,91.99166870117188,20.595930099487305,33.459999084472656,48.04069137573242,6.4974260330200195,19.3539981842041,27.457441329956055,41.834190368652344,47.1890754699707,50.44359588623047,27.6481990814209,0.5347611904144287,85.79875946044922,11.520000457763672,37.0815315246582,,24.6200008392334,38.34000015258789
2015-05-01,81.12889099121094,79.08999633789062,2.2799999713897705,76.2699966430664,12.907271385192871,54.832794189453125,29.024085998535156,17.66048812866211,,4.369375228881836,54.150001525878906,11.239009857177734,19.790000915527344,32.940696716308594,21.196680068969727,57.6288948059082,15.777050018310547,,,,71.91000366210938,125.69000244140625,87.58512115478516,49.709999084472656,8.01200008392334,87.4800033569336,9.36030387878418,26.93000030517578,,10.7879638671875,104.00948333740234,26.628360748291016,95.7400894165039,22.470792770385742,32.86000061035156,48.74333953857422,7.070830345153809,19.950944900512695,27.26222038269043,40.30324172973633,49.711036682128906,49.81041717529297,25.592409133911133,0.5330749154090881,100.19672393798828,13.260000228881836,37.10062789916992,,28.248332977294922,41.27000045776367
2015-06-01,81.75402069091797,81.01000213623047,2.4000000953674316,69.81999969482422,13.115415573120117,52.10275650024414,28.060314178466797,16.9460506439209,,5.108749866485596,50.08000183105469,10.089834213256836,19.65999984741211,30.49333381652832,19.85878562927246,54.3966064453125,14.964265823364258,,,,71.2300033569336,120.3499984741211,90.66095733642578,46.97999954223633,8.265999794006348,85.77999877929688,8.835853576660156,28.190000534057617,,9.693020820617676,100.47872161865234,23.67650032043457,92.63300323486328,19.537822723388672,31.190000534057617,46.31794357299805,6.993460178375244,19.40241050720215,18.389556884765625,38.2192268371582,46.16935348510742,48.40898895263672,24.182533264160156,0.4866587221622467,87.6553726196289,11.6899995803833,34.37929153442383,,29.116666793823242,41.02000045776367
2015-07-01,87.10122680664062,81.98999786376953,1.9299999475479126,76.70999908447266,12.790458679199219,47.346221923828125,27.136381149291992,15.306118965148926,,5.279375076293945,50.58000183105469,9.525378227233887,20.969999313354492,31.961057662963867,20.55304718017578,56.18638229370117,14.167887687683105,,,,74.11000061035156,134.13999938964844,90.5710678100586,44.29999923706055,9.54800033569336,88.56999969482422,8.69638729095459,28.440000534057617,,9.91073226928711,100.06481170654297,22.532371520996094,97.22926330566406,18.58341407775879,30.540000915527344,43.71405029296875,6.6321702003479,17.524761199951172,18.067445755004883,40.42666244506836,47.25545883178711,51.08670425415039,23.86836814880371,0.48278680443763733,86.57532501220703,10.619999885559082,34.07217788696289,,30.97166633605957,36.349998474121094
2015-08-01,79.63371276855469,78.56999969482422,1.809999942779541,71.30999755859375,11.872157096862793,45.34132766723633,25.225879669189453,14.186372756958008,,4.674375057220459,46.75,9.588557243347168,20.020000457763672,35.35908889770508,18.860376358032227,56.04392623901367,13.052964210510254,,,,70.61000061035156,121.41000366210938,85.45780181884766,47.84000015258789,8.428000450134277,85.51000213623047,7.835930824279785,25.079999923706055,,9.111898422241211,91.35498046875,22.213254928588867,79.01654052734375,17.75748634338379,32.040000915527344,41.29143142700195,6.2784318923950195,17.38567543029785,16.017650604248047,37.67384719848633,43.94729995727539,55.04389572143555,24.629318237304688,0.5440122485160828,75.56038665771484,9.5600004196167,31.758922576904297,,27.3700008392334,33.119998931884766
2015-09-01,83.00421905517578,82.22000122070312,1.7200000286102295,69.05999755859375,11.554717063903809,46.15254211425781,24.787227630615234,13.028511047363281,,3.8243749141693115,44.13999938964844,9.515484809875488,20.68000030517578,36.4105224609375,19.130014419555664,55.75007629394531,13.079713821411133,,,,74.5199966430664,115.80000305175781,84.38917541503906,42.75,8.496000289916992,83.93000030517578,7.499495983123779,25.209999084472656,,8.316313743591309,90.29462432861328,23.653444290161133,81.78097534179688,20.61268424987793,30.84000015258789,41.60687255859375,5.636525630950928,17.62702751159668,14.621843338012695,38.56708908081055,46.789390563964844,58.06696701049805,22.81064224243164,0.5990356802940369,77.72052764892578,9.399999618530273,30.928335189819336,,28.666667938232422,31.739999771118164
2015-10-01,90.55621337890625,88.66000366210938,2.119999885559082,60.81999969482422,12.327094078063965,49.18791961669922,26.85470962524414,14.87325668334961,,4.031875133514404,55.189998626708984,9.401768684387207,22.219999313354492,39.823463439941406,21.024805068969727,60.647464752197266,14.21043872833252,,,,77.3499984741211,110.19999694824219,92.27081298828125,57.06999969482422,6.872000217437744,90.66999816894531,7.934752941131592,27.479999542236328,6.507441520690918,8.809814453125,87.24886322021484,26.572856903076172,89.77940368652344,21.174758911132812,33.08000183105469,55.853065490722656,6.635756492614746,19.913129806518555,16.164064407348633,45.869224548339844,57.2696533203125,59.711021423339844,26.201396942138672,0.6894379258155823,69.93685150146484,11.0,33.25738525390625,,26.833332061767578,35.439998626708984
