strategy,trades,pnl_pips,profit_factor,win_rate,tp_hits,sl_hits,time_exits,profitable_days,total_days
1m V4.3 Combined,736,4.703416429247225,1.0093262840147739,0.46195652173913043,338,392,6,2,5
1m V4.4 Tight SL,675,-5.434212344033394,0.9875496150709169,0.4533333333333333,304,364,7,2,5
1m V5.1 Aggressive,1037,-120.48064200537516,0.8256215850305552,0.5197685631629702,538,494,5,0,5
1m V5.2 Conservative,330,0.9356167657034398,1.0038861711415337,0.45151515151515154,146,180,4,3,5
1m V5.3 Tight R:R,750,71.58793040684276,1.1596602365899937,0.38133333333333336,285,460,5,4,5
1m V5.4 Scalper,1295,-40.30614035470142,0.9164618354673437,0.5691119691119692,737,554,4,1,5
1m V5.5 London,298,6.687974194117957,1.0277766105580923,0.41946308724832215,124,172,2,2,5
1m V5.6 Balanced,783,44.303722218104916,1.0967473609480034,0.49680715197956576,387,390,6,2,5
