strategy,2w_pnl,2w_trades,2w_pf,2w_winrate,8w_pnl,8w_trades,8w_pf,8w_winrate,consistent_profitable,avg_pnl,min_pnl,max_pnl
1m V5.3 Tight R:R,34.26428571432432,704,1.0519794336116897,0.3096590909090909,-296.8499999998989,3118,0.9048285338066469,0.2783835792174471,False,-131.29285714278728,-296.8499999998989,34.26428571432432
1m V5.6 Balanced,8.27035714287637,666,1.0126213311779375,0.4204204204204204,-277.36785714277454,2821,0.9065880654325282,0.3934774902516838,False,-134.54874999994908,-277.36785714277454,8.27035714287637
