model,train_days,total_pnl_pips,total_trades,test_days,profitable_days,avg_daily_pnl,win_rate_days
RandomForest,8,10.110714285779217,692,10,1,1.0110714285779216,0.1
XGBoost,8,-114.20107142846555,1065,10,3,-11.420107142846556,0.3
LightGBM,8,-195.89964285705815,1058,10,2,-19.589964285705815,0.2
LogisticReg,8,0.0,0,10,0,0.0,0.0
MomentumRule,8,0.0,0,10,0,0.0,0.0
RandomForest,10,0.0,0,10,0,0.0,0.0
XGBoost,10,2.282857142846939,47,10,3,0.2282857142846939,0.3
LightGBM,10,3.9332142857112777,85,10,3,0.3933214285711278,0.3
LogisticReg,10,0.0,0,10,0,0.0,0.0
MomentumRule,10,0.0,0,10,0,0.0,0.0
RandomForest,12,0.0,0,10,0,0.0,0.0
XGBoost,12,-15.07428571430219,52,10,1,-1.5074285714302191,0.1
LightGBM,12,-1.6339285714168093,51,10,4,-0.16339285714168092,0.4
LogisticReg,12,0.0,0,10,0,0.0,0.0
MomentumRule,12,0.0,0,10,0,0.0,0.0
