model,train_days,total_pnl_pips,total_trades,test_days,profitable_days,avg_daily_pnl,win_rate_days
RandomForest,5,0.0,0,10,0,0.0,0.0
XGBoost,5,-645.1407142856426,2394,10,1,-64.51407142856426,0.1
LightGBM,5,-634.0557142855401,2874,10,1,-63.40557142855401,0.1
LogisticReg,5,0.0,0,10,0,0.0,0.0
MomentumRule,5,0.0,0,10,0,0.0,0.0
RandomForest,10,0.0,0,10,0,0.0,0.0
XGBoost,10,2.282857142846939,47,10,3,0.2282857142846939,0.3
LightGBM,10,3.9332142857112777,85,10,3,0.3933214285711278,0.3
LogisticReg,10,0.0,0,10,0,0.0,0.0
MomentumRule,10,0.0,0,10,0,0.0,0.0
RandomForest,20,-22.68928571427712,92,10,0,-2.268928571427712,0.0
XGBoost,20,-94.21250000000194,262,10,1,-9.421250000000194,0.1
LightGBM,20,-109.32357142858808,218,10,2,-10.932357142858809,0.2
LogisticReg,20,0.0,0,10,0,0.0,0.0
MomentumRule,20,0.0,0,10,0,0.0,0.0
