ticker,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,pegRatio,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,grossMargins,debtToEquity,currentRatio,quickRatio,revenueGrowth,earningsGrowth,marketCap,trailingEps,forwardEps,bookValue,dividendYield,beta,sector,download_date
AMZN,32.647808,29.422338,6.6736054,3.5692296,18.268,,0.24327,0.07495,0.11063,0.11057,0.50046,43.405,1.009,0.76,0.134,0.364,2467515596800,7.07,7.84506,34.587,,1.372,Consumer,2025-12-31
TSLA,310.1517,202.8388,18.693157,15.639867,137.838,,0.06791,0.0235,0.05314,0.06628,0.17006999,17.082,2.066,1.486,0.116,-0.371,1495687364608,1.45,2.21713,24.058,,1.878,Consumer,2025-12-31
HD,23.488056,22.743843,28.258192,2.0612407,15.988,,1.62909,0.13226,0.087740004,0.12945,0.33355,544.586,1.051,0.246,0.028,-0.014,342555525120,14.65,15.12937,12.177,2.66,1.051,Consumer,2025-12-31
MCD,26.099915,23.102945,-100.6355,8.304102,19.087,,,0.12968999,0.3204,0.46905997,0.57425,,1.0,0.821,0.03,0.016,218098925568,11.71,13.22905,-3.037,2.42,0.521,Consumer,2025-12-31
NKE,37.25731,27.11987,6.6922264,2.0247288,24.442,,0.17950001,0.0502,0.05426,0.08095,0.41132998,80.099,2.063,1.21,0.006,-0.321,94176206848,1.71,2.3492,9.52,2.68,1.291,Consumer,2025-12-31
SBUX,51.662575,28.02031,-11.823925,2.575144,22.02,,,0.07266,0.04992,0.10976,0.23045999,,0.723,0.465,0.055,-0.854,95755190272,1.63,3.00532,-7.122,2.91,0.977,Consumer,2025-12-31
TGT,11.848485,12.723607,2.8553483,0.42205122,7.534,,0.25094998,0.052410003,0.03576,0.04626,0.27813998,132.062,0.975,0.18,-0.016,-0.184,44417515520,8.25,7.68257,34.234,4.68,1.125,Consumer,2025-12-31
LOW,19.947063,18.57433,-13.031449,1.6055909,14.53,,,0.13182001,0.08045,0.1192,0.3359,,1.04,0.094,0.032,-0.037,135279058944,12.09,12.98351,-18.506,1.97,0.956,Consumer,2025-12-31
PG,20.890669,19.496925,6.378689,3.949171,14.66,,0.31902,0.10746,0.19739,0.2758,0.51278996,67.125,0.714,0.465,0.03,0.214,335414951936,6.86,7.35039,22.467,2.93,0.382,Consumer,2025-12-31
KO,23.149008,21.704844,9.6255,6.3124304,20.593,,0.42442,0.08959,0.2734,0.32373002,0.61632997,144.771,1.211,0.877,0.051,0.301,300869386240,3.02,3.22094,7.263,2.91,0.393,Consumer,2025-12-31
