date,pnl_pips
2025-11-07,0.0
2025-11-10,0.0
2025-11-11,-8.09285714285639
2025-11-12,0.0
2025-11-13,0.0
2025-11-14,0.0
2025-11-17,0.0
2025-11-18,0.0
2025-11-19,0.0
2025-11-20,14.17857142856987
2025-11-21,16.357142857142886
2025-11-24,-7.224999999999748
2025-11-25,0.0
2025-11-26,14.285714285714697
2025-11-27,0.0
2025-11-28,0.0
2025-12-01,3.341071428570487
2025-12-02,0.0
2025-12-03,0.0
2025-12-04,19.971428571427296
2025-12-05,0.0
2025-12-08,0.0
2025-12-09,0.0
2025-12-10,20.05000000000273
2025-12-11,0.0
2025-12-12,0.0
2025-12-15,0.0
2025-12-16,0.0
2025-12-17,0.0
2025-12-18,0.0
2025-12-19,-8.108928571429114
2025-12-22,9.250000000000412
2025-12-23,0.0
2025-12-24,0.0
2025-12-25,0.0
2025-12-26,-4.541071428570961
2025-12-29,15.257142857141789
2025-12-30,0.0
2025-12-31,0.0
2026-01-01,0.0
2026-01-02,-4.926785714286346
2026-01-05,-5.666071428571669
2026-01-06,7.685714285717138
2026-01-07,7.1571428571425635
2026-01-08,0.0
2026-01-09,43.45357142857316
2026-01-12,1.1785714285705922
2026-01-13,-0.7482142857138658
2026-01-14,-13.894642857138699
2026-01-15,-6.5428571428562226
2026-01-16,15.816071428568549
