entry_time,exit_time,direction,probability,pnl_pips,outcome,holding_bars
2025-11-07 13:30:00,2025-11-07 13:32:00,long,0.6014587350282232,-6.605357142859197,SL_HIT,2
2025-11-07 13:35:00,2025-11-07 13:43:00,long,0.6794967740527521,-9.080357142857807,SL_HIT,8
2025-11-07 13:46:00,2025-11-07 14:09:00,long,0.6654111880409594,10.22142857142803,TP_HIT,23
2025-11-07 14:51:00,2025-11-07 15:05:00,long,0.5893156490044478,-6.450000000001987,SL_HIT,14
2025-11-28 10:52:00,2025-11-28 10:54:00,long,0.5823775721028268,1.6142857142855667,TP_HIT,2
2025-12-05 13:30:00,2025-12-05 13:31:00,long,0.5919167487359418,-5.110714285715112,SL_HIT,1
2025-12-10 19:37:00,2025-12-10 19:38:00,long,0.5926638018716457,-8.587500000000526,SL_HIT,1
2025-12-10 19:41:00,2025-12-10 19:52:00,long,0.61761829138446,-12.016071428572053,SL_HIT,11
2025-12-18 13:30:00,2025-12-18 13:50:00,long,0.5888566034812615,-4.987500000000494,SL_HIT,20
2025-12-22 22:05:00,2025-12-22 22:45:00,long,0.5917635555409692,1.4999999999984694,TIME_EXIT,40
2025-12-31 15:55:00,2025-12-31 16:04:00,long,0.6177034061118889,6.799999999998298,TP_HIT,9
2026-01-05 00:00:00,2026-01-05 00:40:00,short,0.37713963928241817,-1.6000000000018553,TIME_EXIT,40
2026-01-05 15:02:00,2026-01-05 15:04:00,long,0.5898511675199393,-4.682142857143254,SL_HIT,2
2026-01-05 15:14:00,2026-01-05 15:25:00,long,0.5813602375128206,-5.233928571428539,SL_HIT,11
2026-01-05 15:45:00,2026-01-05 15:48:00,long,0.5855459653094633,4.97857142857302,TP_HIT,3
2026-01-06 15:43:00,2026-01-06 16:05:00,long,0.5849625275541155,5.8999999999996975,TP_HIT,22
2026-01-09 13:30:00,2026-01-09 13:32:00,long,0.610273293139499,-3.9321428571428614,SL_HIT,2
2026-01-09 13:35:00,2026-01-09 13:39:00,long,0.6427424993444659,7.314285714285796,TP_HIT,4
2026-01-09 13:42:00,2026-01-09 14:13:00,long,0.5955594105319818,10.064285714284779,TP_HIT,31
2026-01-09 15:02:00,2026-01-09 15:04:00,long,0.6160512376614636,6.214285714285251,TP_HIT,2
2026-01-09 15:12:00,2026-01-09 15:24:00,long,0.5901585717200301,-6.257142857144056,SL_HIT,12
2026-01-09 15:57:00,2026-01-09 16:06:00,long,0.5829503018385843,-4.842857142857404,SL_HIT,9
2026-01-09 21:58:00,2026-01-09 21:59:00,long,0.5887262768404181,-0.5499999999994174,TIME_EXIT,1
2026-01-13 13:30:00,2026-01-13 13:34:00,long,0.6755338222978766,6.592857142857256,TP_HIT,4
2026-01-13 13:38:00,2026-01-13 14:03:00,long,0.5820188331858049,-9.075000000000152,SL_HIT,25
2026-01-13 14:52:00,2026-01-13 15:02:00,long,0.5937315919866725,6.014285714286795,TP_HIT,10
2026-01-14 15:11:00,2026-01-14 15:34:00,long,0.5878612017187574,4.814285714286229,TP_HIT,23
2026-01-16 15:20:00,2026-01-16 15:21:00,long,0.6070579679830781,5.021428571427589,TP_HIT,1
2026-01-16 16:00:00,2026-01-16 16:03:00,long,0.5834001237197609,-4.735714285714558,SL_HIT,3
