ticker,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,pegRatio,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,grossMargins,debtToEquity,currentRatio,quickRatio,revenueGrowth,earningsGrowth,marketCap,trailingEps,forwardEps,bookValue,dividendYield,beta,sector,download_date
IBM,36.216667,24.905525,10.1906,4.347958,22.348,,0.30156,0.051370002,0.120900005,0.1717,0.57808995,237.831,0.932,0.775,0.091,,284365160448,8.4,12.21496,29.853,2.21,0.698,Technology,2026-01-11
NOW,85.42169,34.79857,13.022316,11.811738,57.708,,0.16813,0.056500003,0.13665,0.16789,0.78053004,21.255,1.063,0.885,0.218,0.159,149619277824,1.66,4.07488,10.889,,0.979,Technology,2026-01-11
QCOM,35.485027,14.34148,9.003798,4.3316917,13.996,,0.2334,0.14713,0.12512,0.26235,0.55429,73.767,2.816,1.582,0.1,,191824625664,5.01,12.39621,19.745,2.0,1.212,Technology,2026-01-11
TXN,34.7281,31.1084,10.404002,10.020728,23.26,,0.29757,0.10697,0.29208001,0.36736,0.57483,84.477,4.45,2.806,0.142,0.007,173017890816,5.48,6.11764,18.292,2.98,0.988,Technology,2026-01-11
AMAT,34.73818,25.9074,11.699037,8.457868,26.525,,0.35508,0.15045999,0.24669,0.28441,0.48675,34.533,2.61,1.72,-0.035,0.133,239932768256,8.67,11.62525,25.744,0.61,1.671,Technology,2026-01-11
INTU,44.429947,24.489141,9.324416,9.267584,,,0.21987,0.09776,0.21191,0.15697,0.80728996,,1.386,0.573,0.41,-0.185,180096974848,14.56,26.41579,69.377,0.69,1.254,Technology,2026-01-11
PANW,118.8805,43.580513,15.095033,13.528636,92.561,,0.15324001,0.03179,0.11687,0.12005,0.73467004,4.951,0.985,0.848,0.157,-0.041,131746947072,1.59,4.33726,12.522,,0.754,Technology,2026-01-11
MU,32.77208,8.601251,6.607628,9.179476,17.567,,0.22554001,0.10934,0.28146,0.44974998,0.45308998,21.244,2.46,1.7,0.567,1.754,388401987584,10.53,40.12091,52.226,0.13,1.503,Technology,2026-01-11
SNPS,64.91718,31.011425,3.448235,14.243545,84.184,,0.0716,0.018660001,0.18886,0.053839996,0.81404996,50.459,1.615,1.438,0.378,-0.665,100476493824,8.09,16.93505,152.304,,1.119,Technology,2026-01-11
CDNS,84.14139,40.64665,17.136648,17.110128,47.083,,0.21736,0.11089,0.20354,0.35089,0.85545,47.685,3.048,2.685,0.101,0.207,89188696064,3.89,8.05257,19.1,,1.022,Technology,2026-01-11
KLAC,44.052864,33.24207,36.934444,14.720032,32.941,,0.99167997,0.20436001,0.33828998,0.41661,0.61294997,122.127,2.692,1.749,0.13,0.208,184358338560,31.78,42.11531,37.905,0.54,1.444,Technology,2026-01-11
LRCX,48.309734,38.038235,26.974674,14.054817,39.662,,0.62261003,0.19507,0.29657,0.34354,0.49313,43.991,2.207,1.539,0.277,0.443,275359006720,4.52,5.74054,8.095,0.48,1.779,Technology,2026-01-11
ADI,65.849014,26.737236,4.3575153,13.371644,30.566,,0.06573,0.03891,0.20575,0.30501,0.61467,26.5,2.19,1.568,0.259,0.661,147351601152,4.57,11.25509,69.06,1.32,1.032,Technology,2026-01-11
MRVL,29.302818,23.22518,5.024149,9.205852,29.67,,0.18040001,0.03477,0.31748,0.17733999,0.50708,33.988,2.014,1.557,0.368,,71743963136,2.84,3.58318,16.564,0.29,1.945,Technology,2026-01-11
FTNT,32.600822,27.05592,80.0202,9.26108,26.202,,2.28043,0.13884,0.28584,0.31648,0.80866,148.116,1.027,0.897,0.144,-0.114,60703596544,2.43,2.92801,0.99,,1.069,Technology,2026-01-11
CTSH,19.73611,15.149174,2.7643225,1.9964827,10.579,,0.14501001,0.101560004,0.10203,0.15993,0.34056,7.854,2.358,1.965,0.074,-0.521,41640640512,4.32,5.62803,30.843,1.45,0.954,Technology,2026-01-11
HPQ,8.101886,6.617821,-57.101063,0.36292696,6.013,,,0.055859998,0.045739997,0.07439,0.20602,,0.767,0.422,0.042,-0.114,20068046848,2.65,3.24427,-0.376,5.59,1.22,Technology,2026-01-11
DELL,16.12567,10.52525,-30.70774,0.77663124,9.754,,,0.057490002,0.05005,0.082729995,0.20948,,0.853,0.549,0.108,0.39,80839548928,7.48,11.46006,-3.928,1.74,1.112,Technology,2026-01-11
